,Season,Statistic,Value,Source,Region
0,Winter,mean,5.9081097,MOM6,SNE_Inshore
1,Winter,std,2.3241665363311768,MOM6,SNE_Inshore
2,Spring,mean,7.946084,MOM6,SNE_Inshore
3,Spring,std,2.4312829971313477,MOM6,SNE_Inshore
4,Summer,mean,12.319511,MOM6,SNE_Inshore
5,Summer,std,3.5359301567077637,MOM6,SNE_Inshore
6,Fall,mean,12.600879,MOM6,SNE_Inshore
7,Fall,std,2.786003828048706,MOM6,SNE_Inshore
0,Winter,mean,5.7777,roms/glorys,SNE_Inshore
1,Winter,std,2.059720993041992,roms/glorys,SNE_Inshore
2,Spring,mean,6.694796,roms/glorys,SNE_Inshore
3,Spring,std,2.0948212146759033,roms/glorys,SNE_Inshore
4,Summer,mean,10.141506,roms/glorys,SNE_Inshore
5,Summer,std,3.3319811820983887,roms/glorys,SNE_Inshore
6,Fall,mean,12.25201,roms/glorys,SNE_Inshore
7,Fall,std,2.4991233348846436,roms/glorys,SNE_Inshore
0,Winter,mean,6.272157,glorys,SNE_Inshore
1,Winter,std,2.0738141536712646,glorys,SNE_Inshore
2,Spring,mean,7.3183713,glorys,SNE_Inshore
3,Spring,std,2.1759095191955566,glorys,SNE_Inshore
4,Summer,mean,10.781852,glorys,SNE_Inshore
5,Summer,std,3.375422239303589,glorys,SNE_Inshore
6,Fall,mean,12.549491,glorys,SNE_Inshore
7,Fall,std,2.56831955909729,glorys,SNE_Inshore
