,Season,Statistic,Value,Source,Region
0,Winter,mean,9.11805,MOM6,SNE_Offshore
1,Winter,std,2.8207645416259766,MOM6,SNE_Offshore
2,Spring,mean,8.333189,MOM6,SNE_Offshore
3,Spring,std,2.2782554626464844,MOM6,SNE_Offshore
4,Summer,mean,11.013468,MOM6,SNE_Offshore
5,Summer,std,1.8605825901031494,MOM6,SNE_Offshore
6,Fall,mean,12.826852,MOM6,SNE_Offshore
7,Fall,std,1.796041488647461,MOM6,SNE_Offshore
0,Winter,mean,8.656391,roms/glorys,SNE_Offshore
1,Winter,std,3.1009011268615723,roms/glorys,SNE_Offshore
2,Spring,mean,7.9302287,roms/glorys,SNE_Offshore
3,Spring,std,2.6969974040985107,roms/glorys,SNE_Offshore
4,Summer,mean,10.006531,roms/glorys,SNE_Offshore
5,Summer,std,1.9983137845993042,roms/glorys,SNE_Offshore
6,Fall,mean,12.2558975,roms/glorys,SNE_Offshore
7,Fall,std,1.9206875562667847,roms/glorys,SNE_Offshore
0,Winter,mean,9.320966,glorys,SNE_Offshore
1,Winter,std,3.149796724319458,glorys,SNE_Offshore
2,Spring,mean,8.138339,glorys,SNE_Offshore
3,Spring,std,2.675102710723877,glorys,SNE_Offshore
4,Summer,mean,10.307396,glorys,SNE_Offshore
5,Summer,std,1.9687035083770752,glorys,SNE_Offshore
6,Fall,mean,12.554406,glorys,SNE_Offshore
7,Fall,std,1.8534438610076904,glorys,SNE_Offshore
