,Year,Value,Source,Unit
0,1959,1.3213053723661998,ROMS + MOM6,Cold Pool Index
1,1960,1.6897984692890116,ROMS + MOM6,Cold Pool Index
2,1961,1.428415126749155,ROMS + MOM6,Cold Pool Index
3,1962,0.8072997490560853,ROMS + MOM6,Cold Pool Index
4,1963,0.8464391114666596,ROMS + MOM6,Cold Pool Index
5,1964,1.3223129570094414,ROMS + MOM6,Cold Pool Index
6,1965,2.429830227839122,ROMS + MOM6,Cold Pool Index
7,1966,1.8586868220984034,ROMS + MOM6,Cold Pool Index
8,1967,1.3959629292309896,ROMS + MOM6,Cold Pool Index
9,1968,2.0067221495650855,ROMS + MOM6,Cold Pool Index
10,1969,1.6356972650726727,ROMS + MOM6,Cold Pool Index
11,1970,1.4294647146087076,ROMS + MOM6,Cold Pool Index
12,1971,1.854958148449218,ROMS + MOM6,Cold Pool Index
13,1972,0.7621184920772341,ROMS + MOM6,Cold Pool Index
14,1973,0.6895782094021814,ROMS + MOM6,Cold Pool Index
15,1974,-0.5581581599257758,ROMS + MOM6,Cold Pool Index
16,1975,0.7062285217619683,ROMS + MOM6,Cold Pool Index
17,1976,-0.08725568948748942,ROMS + MOM6,Cold Pool Index
18,1977,1.0910363285501752,ROMS + MOM6,Cold Pool Index
19,1978,1.049565238559192,ROMS + MOM6,Cold Pool Index
20,1979,2.040258890087838,ROMS + MOM6,Cold Pool Index
21,1980,1.7420026986008907,ROMS + MOM6,Cold Pool Index
22,1981,1.410759473628885,ROMS + MOM6,Cold Pool Index
23,1982,1.3500685919539752,ROMS + MOM6,Cold Pool Index
24,1983,0.39485667164373955,ROMS + MOM6,Cold Pool Index
25,1984,1.8278007854959015,ROMS + MOM6,Cold Pool Index
26,1985,-0.012196178694311636,ROMS + MOM6,Cold Pool Index
27,1986,-0.9387145792185028,ROMS + MOM6,Cold Pool Index
28,1987,1.2727886980175285,ROMS + MOM6,Cold Pool Index
29,1988,1.1817946836227013,ROMS + MOM6,Cold Pool Index
