,Year,Value,Source,Unit
0,1993,0.5355595553221821,MOM6,Cold Pool Index
1,1994,-0.038331125778814756,MOM6,Cold Pool Index
2,1995,-0.8879062500157364,MOM6,Cold Pool Index
3,1996,-0.23498619790261388,MOM6,Cold Pool Index
4,1997,-0.5069314145030824,MOM6,Cold Pool Index
5,1998,-0.31360842280982576,MOM6,Cold Pool Index
6,1999,-0.7572963496643447,MOM6,Cold Pool Index
7,2000,-0.7855400932876739,MOM6,Cold Pool Index
8,2001,-0.4114348738729819,MOM6,Cold Pool Index
9,2002,-1.7624340746512737,MOM6,Cold Pool Index
10,2003,-0.0002504325007231262,MOM6,Cold Pool Index
11,2004,0.5164794106420831,MOM6,Cold Pool Index
12,2005,0.22445758463378546,MOM6,Cold Pool Index
13,2006,-1.1305319521142418,MOM6,Cold Pool Index
14,2007,-0.2572788426749224,MOM6,Cold Pool Index
15,2008,-1.0589462520996726,MOM6,Cold Pool Index
16,2009,-0.302067728857278,MOM6,Cold Pool Index
17,2010,-0.0672602020288405,MOM6,Cold Pool Index
18,2011,-0.3594824932599959,MOM6,Cold Pool Index
19,2012,-2.027305532403287,MOM6,Cold Pool Index
20,2013,-0.14275684719206713,MOM6,Cold Pool Index
21,2014,0.08857040923010204,MOM6,Cold Pool Index
22,2015,-0.25698157319322557,MOM6,Cold Pool Index
23,2016,-1.662781375561276,MOM6,Cold Pool Index
24,2017,-0.7703254667275259,MOM6,Cold Pool Index
25,2018,-0.9613063300223801,MOM6,Cold Pool Index
26,2019,-0.702075680985303,MOM6,Cold Pool Index
27,1993,0.6794572472572327,GLORYS,Cold Pool Index
28,1994,0.4388284683227539,GLORYS,Cold Pool Index
29,1995,-0.3023453950881958,GLORYS,Cold Pool Index
30,1996,1.282731294631958,GLORYS,Cold Pool Index
31,1997,0.1577557772397995,GLORYS,Cold Pool Index
32,1998,0.6910510063171387,GLORYS,Cold Pool Index
33,1999,-1.68934965133667,GLORYS,Cold Pool Index
34,2000,-1.0551879405975342,GLORYS,Cold Pool Index
35,2001,-0.6947265267372131,GLORYS,Cold Pool Index
36,2002,-0.6412716507911682,GLORYS,Cold Pool Index
37,2003,0.2484429031610489,GLORYS,Cold Pool Index
38,2004,2.38061261177063,GLORYS,Cold Pool Index
39,2005,0.203912153840065,GLORYS,Cold Pool Index
40,2006,-1.5504859685897827,GLORYS,Cold Pool Index
41,2007,1.394850730895996,GLORYS,Cold Pool Index
42,2008,-0.2076011598110199,GLORYS,Cold Pool Index
43,2009,-0.07104463875293732,GLORYS,Cold Pool Index
44,2010,0.3221656382083893,GLORYS,Cold Pool Index
45,2011,-0.2074245810508728,GLORYS,Cold Pool Index
46,2012,-1.8877599239349365,GLORYS,Cold Pool Index
47,2013,-1.2039886713027954,GLORYS,Cold Pool Index
48,2014,-2.159358263015747,GLORYS,Cold Pool Index
49,2015,-2.249279260635376,GLORYS,Cold Pool Index
50,2016,-1.5414695739746094,GLORYS,Cold Pool Index
51,2017,0.1482100933790207,GLORYS,Cold Pool Index
52,2018,0.19728048145771027,GLORYS,Cold Pool Index
53,2019,-0.8528544902801514,GLORYS,Cold Pool Index
